fk_ficha,cod_barra,error_descripcion
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000048901,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_01 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000049101,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p10_01 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000049501,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p10_01 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000050801,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_03 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000051101,La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9]
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000051801,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_03 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000052701,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_02 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000052901,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_01 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000032301,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p10_03 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000033301,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_02 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000034101,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_01 no sigue el patrón : ['A'"
